n_max,Delta (dB),Approx. overlap,r0 (dB),c0_0,c0_2,c0_4,c0_6,c0_8,c0_10,c0_12,Navg0,Fidelity0,r1 (dB),c1_0,c1_2,c1_4,c1_6,c1_8,c1_10,c1_12,Navg1,Fidelity1
2,9.4,0.018416124439904827,-9.400927791492899,0.9999999971485546,7.551749539782595e-05,0.0,0.0,0.0,0.0,0.0,1.707031002961751,0.6762417848256171,0.6650294498168148,0.36151485052509846,0.9323663511999002,0.0,0.0,0.0,0.0,0.0,1.691632188355344,0.7119068807548362
2,9.6,0.019754510944964145,-9.598825391873833,0.9999999954335898,-9.572431450594332e-05,0.0,0.0,0.0,0.0,0.0,1.8062202471687456,0.6612376002005389,0.6614296510286409,0.3587650765742988,0.9334278867908054,0.0,0.0,0.0,0.0,0.0,1.6962266837555777,0.6960255196439326
2,9.8,0.021035872717680554,-9.80195972281185,0.9999999872747921,0.0001595318659461024,0.0,0.0,0.0,0.0,0.0,1.91579166041481,0.6464725594636634,0.6581427970718312,0.356148789741607,0.9344292587273386,0.0,0.0,0.0,0.0,0.0,1.700562952549046,0.6798845882152337
2,10.0,0.022255281308174654,-10.000487142617507,0.9999999992216763,3.945683778350884e-05,0.0,0.0,0.0,0.0,0.0,2.025553892790975,0.631964870458669,0.6551426490022059,0.3536594276244313,0.9353742615939143,0.0,0.0,0.0,0.0,0.0,1.7046570722172083,0.6635273357167931
2,10.2,0.023408982397907688,-10.191586014002949,0.9999997654012888,-0.0006849798299040403,0.0,0.0,0.0,0.0,0.0,2.1316649520342468,0.6177278534980478,0.6524047525706931,0.3512906373026905,0.9362664621487989,0.0,0.0,0.0,0.0,0.0,1.7085241927682886,0.6469982257408202
2,10.4,0.02449409287947148,-10.401741297332993,0.9999999899530148,0.0001417532029765134,0.0,0.0,0.0,0.0,0.0,2.2661764963390976,0.6037706189845053,0.6499069525635375,0.3490364783418467,0.9371091381409331,0.0,0.0,0.0,0.0,0.0,1.7121782501615037,0.6303422269056869
2,10.6,0.025508859745539535,-10.593025818891048,0.9999998388252263,-0.0005677583554303682,0.0,0.0,0.0,0.0,0.0,2.383024087593754,0.5900987351459105,0.6476286199751893,0.34689124299914065,0.9379053606534894,0.0,0.0,0.0,0.0,0.0,1.715632328704541,0.6136041298088694
2,10.8,0.026452109751887394,-10.808203360521823,0.9999997768935058,0.0006679918599921791,0.0,0.0,0.0,0.0,0.0,2.5377544079006875,0.5767148602027405,0.6455509335644244,0.34484952227620147,0.9386579819006898,0.0,0.0,0.0,0.0,0.0,1.718898592280297,0.596827916261359
2,11.0,0.027323424161366506,-11.001761903722254,0.9999999897284919,0.00014341468202080912,0.0,0.0,0.0,0.0,0.0,2.6697101804565624,0.5636193204030884,0.6436567977368811,0.34290616531161433,0.9393696619501284,0.0,0.0,0.0,0.0,0.0,1.7219883931986901,0.5800562009597146
4,3.0,0.09370762763380854,0.94207322004974,0.9523980542945506,-0.2701401787181142,0.14128775607993663,0.0,0.0,0.0,0.0,0.35139626774859506,0.9985766244217122,-0.6521648079470419,0.43790266223744556,0.8211636553723973,0.3659665415045497,0.0,0.0,0.0,0.0,2.1448475371909144,0.999642223501209
4,3.2,0.08155351214430794,0.9814644232928916,0.946667101414488,-0.28104382329497113,0.1575936816222733,0.0,0.0,0.0,0.0,0.39746101914667076,0.9980559127442644,-0.7517533692715888,0.42156003783013973,0.8226361856061177,0.3815191222422164,0.0,0.0,0.0,0.0,2.2467222323899545,0.9995411147032782
4,3.4,0.07042819898041261,1.0275060727570116,0.9404734918181981,-0.2913740978696939,0.17495927034776437,0.0,0.0,0.0,0.0,0.44923514328705194,0.9973865085444245,-0.8478717041130023,0.40560391282297825,0.8232665201086447,0.3971368816553391,0.0,0.0,0.0,0.0,2.3492439384262265,0.9994135831648707
4,3.6,0.06029495544610468,1.0798108769201606,0.9338125100634136,-0.30101588078846075,0.19334848218294806,0.0,0.0,0.0,0.0,0.5070735941995209,0.9965398318137402,-0.9404892039982535,0.39006162824441865,0.8230829632411613,0.41277882914964625,0.0,0.0,0.0,0.0,2.452148030994348,0.9992533364107113
4,3.8,0.05111548103950112,1.1378411360591458,0.9266867226264693,-0.3098521147562467,0.21270492493227022,0.0,0.0,0.0,0.0,0.5712383119355824,0.9954855730838612,-1.0295835655103283,0.37495684728143547,0.8221179440110665,0.42840337161608205,0.0,0.0,0.0,0.0,2.555155488069418,0.9990527549588502
4,4.0,0.042851160931732676,1.2009050877210241,0.9191066945548106,-0.31776856061920894,0.2329506941534454,0.0,0.0,0.0,0.0,0.641865968261331,0.9941923889248194,-1.1151413984923737,0.3603095678288577,0.8204076355140981,0.4439688355436466,0.0,0.0,0.0,0.0,2.6579757005569635,0.9988026638911242
4,4.2,0.03546364102055803,1.268164528824443,0.9110912861573921,-0.32465960128965227,0.25398584917027117,0.0,0.0,0.0,0.0,0.7189375000171738,0.9926286353660043,-1.1971591511526989,0.34613600176033993,0.8179916605725225,0.4594339033197607,0.0,0.0,0.0,0.0,2.7603101847489473,0.9984920832313364
4,4.4,0.028915048170749066,1.3386666429543717,0.9026670228765897,-0.33043447300760026,0.27569059624883013,0.0,0.0,0.0,0.0,0.8022602818541922,0.9907630586329819,-1.2756430042217377,0.3324490552420504,0.8149125486112946,0.4747580054981222,0.0,0.0,0.0,0.0,2.861855393879575,0.9981079623655866
4,4.6,0.02316730630557727,1.4113911175985256,0.8938667855633708,-0.3350230769065629,0.29792903115825536,0.0,0.0,0.0,0.0,0.8914640369612559,0.9885653746298323,-1.3506095754089946,0.31925809400794525,0.8112153893188562,0.4899018897119642,0.0,0.0,0.0,0.0,2.9623079432292063,0.9976349067064954
4,4.8,0.01818134602790135,1.4853101348707298,0.8847278346707425,-0.3383803614969766,0.3205548151463869,0.0,0.0,0.0,0.0,0.9860149727862417,0.9860066996275436,-1.4220860957815087,0.3065693563925344,0.8069472255133343,0.5048280944821022,0.0,0.0,0.0,0.0,3.0613688796392147,0.9970549079947719
4,5.0,0.013916163509783554,1.559442648063441,0.8752898955729576,-0.34048831384535283,0.3434171033078463,0.0,0.0,0.0,0.0,1.0852408837428387,0.9830598352606802,-1.4901101058641917,0.2943859659102698,0.8021567664818344,0.5195011309540684,0.0,0.0,0.0,0.0,3.158747690190173,0.996347092774792
4,5.2,0.010328188876559615,1.6329050674788739,0.8655932424274723,-0.341355801768014,0.3663666950797116,0.0,0.0,0.0,0.0,1.188368524722038,0.9796994472087415,-1.5547291632336344,0.28270832357906545,0.7968936694010027,0.5338880813876179,0.0,0.0,0.0,0.0,3.2541670055135077,0.995487506357376
4,5.4,0.0073708791168990385,1.7049434080190016,0.8556770841432085,-0.34101651187408166,0.3892614369565295,0.0,0.0,0.0,0.0,1.2945646881733834,0.975902196844806,-1.616001114018151,0.27153405940420167,0.7912081721713939,0.5479588331915841,0.0,0.0,0.0,0.0,3.3473672677621904,0.9944489516640601
4,5.6,0.004995050004829222,1.7749509599138025,0.8455788882815701,-0.33952505325113663,0.4119697585217405,0.0,0.0,0.0,0.0,1.40297348991818,0.9716468839870526,-1.6739934693671075,0.2608584994392378,0.785150406967048,0.5616864621030301,0.0,0.0,0.0,0.0,3.4381104819239314,0.9932009034296014
4,5.8,0.003149366399160312,1.8424672894316239,0.8353338849010866,-0.3369528379601985,0.4343732101858054,0.0,0.0,0.0,0.0,1.5127494917466913,0.9669146402495147,-1.7287821802152412,0.2506747163847962,0.778770140886335,0.5750471756556544,0.0,0.0,0.0,0.0,3.5261824631005068,0.991709518077114
4,6.0,0.0017812948594554015,1.9071693395575355,0.8249752055057947,-0.33338323211149473,0.4563677583348387,0.0,0.0,0.0,0.0,1.623083352372975,0.9616891849997993,-1.7804520363419445,0.2409738590909295,0.7721160540326585,0.5880207465216529,0.0,0.0,0.0,0.0,3.611396940559035,0.9899377580064076
4,6.2,0.000838047349329939,1.968852162057078,0.81453408912615,-0.3289078210703225,0.47786385392797265,0.0,0.0,0.0,0.0,1.7332197172048485,0.9559571288511314,-1.8290946732124223,0.23174534842929045,0.7652354661809944,0.6005903552250571,0.0,0.0,0.0,0.0,3.693595949289425,0.9878456459765876
4,6.4,0.0002676192574416167,2.0274111900174887,0.8040402579851728,-0.32362242640182737,0.49878631563960135,0.0,0.0,0.0,0.0,1.8424703277688543,0.9497082896384134,-1.8748085815209425,0.22297706344810497,0.7581738806221683,0.6127426832847366,0.0,0.0,0.0,0.0,3.772651885085287,0.9853906607404587
